noyes,id,bdb,cle,kbc,og,vuu,gb,xxp,rao,at,mt,lf,zq,zf,ihj,ptj,fq
no,255952,xy,cqy,zl,kc,3.16,0,ndk,e2,urz,0.3,xp,10.019547,1.35833863709556,0.316226,1.63098680803875,bhe
yes,504637,dt,rmv,wr,je,3.46,0,ndk,e2,pxe,1.3,xp,5.6178696,1.32016243958924,0.316226,1.73912807188183,bhe
no,94152,eb,fpj,wh,kc,2.83,0,ndk,e2,ghz,0.9,xp,11.139949,1.39369256405331,0.400004,1.69010911428327,akk
no,333375,xy,fpj,zl,je,3.32,0,ndk,e2,zgp,0.1,rw,3.201818,1.3850938385195,0.374171,1.80393265431068,bhe
yes,53070,rh,cqy,zl,kc,3.61,1,ptn,e1,ghz,0.6,xp,4.4798857,1.39749929124711,0.400004,1.86451133528789,bhe
no,260803,rh,fpj,zl,je,3.16,0,ndk,e2,zgp,0.3,xp,6.9137617,1.36851015521846,0.316226,1.68898993192937,bhe
no,403813,xy,fpj,zl,je,3.61,1,ndk,e2,pxe,0.3,xp,3.4374555,1.31937007091228,0.387302,1.84076201463112,akk
no,374863,xy,afs,zl,kc,3.74,0,ndk,e2,ghz,0.4,xp,9.8135676,1.37549098080702,0.316226,1.84552919412446,akk
no,159515,cu,fpj,wh,je,3.32,0,ndk,e2,urz,0.2,rw,8.6304282,1.30330893386272,0.316226,1.67001251699885,akk
no,374735,eb,fpj,wh,kc,3.16,0,ndk,e2,urz,0.3,xp,5.3549506,1.33480793848812,0.400004,1.79360479276827,akk
no,235932,dt,fpj,wh,kc,2.83,0,ndk,e2,ghz,0.4,ii,10.628194,1.36153384487713,0.316226,1.59203038343255,ntg
yes,128016,xy,fpj,wh,kc,3.61,0,ndk,e2,zgp,0.2,ii,4.1834174,1.41964723678491,0.374171,1.82113014164498,ywh
no,252705,cu,fpj,wh,kc,2,0,ndk,e2,pxe,0,xp,4.8848436,1.36646188510049,0.316071,1.53315497829729,bhe
no,543113,cu,fpj,sv,kc,2.83,0,ndk,e2,zgp,0,rw,7.165903,1.43069731423781,0.447206,1.78453316960657,akk
yes,525076,rz,fpj,wg,kc,3.16,0,ndk,e2,ghz,1.3,rw,1.6010091,1.29445233005937,0.316226,1.70784557099866,bhe
no,127390,rh,fpj,wh,je,2.65,0,ndk,e2,zgp,0.3,xp,5.74111,1.36153384487713,0.316226,1.59274389106479,bhe
no,531934,xy,fpj,wh,kc,3.61,0,ndk,e2,pxe,0,xp,0.39992393,1.42566922579817,0.374171,1.83960260762442,bhe
yes,44556,mf,fpj,wg,kc,3.46,1,ndk,e2,urz,1,rw,2.7341654,1.51864550205754,0.56568,2.52462994342273,akk
yes,457939,be,fpj,wh,kc,3.46,1,ndk,e2,urz,1.2,xp,5.1663782,1.38026934318445,0.400004,2.09194227744736,bhe
yes,162311,rh,fpj,wh,kc,3.46,0,ptn,e2,pxe,0,xp,6.8307378,1.29445233005937,0.316226,1.75707342584499,bhe
no,288991,xy,cqy,kd,kc,3.32,1,ndk,e2,ghz,0.3,xp,3.1876183,1.31032482838965,0.316226,1.74686039079524,bhe
no,242657,dt,fpj,wh,je,3.32,0,ndk,e2,zgp,0.2,xp,4.5772608,1.42544825483991,0.447206,2.01571722089104,akk
no,2927,xy,fpj,uz,je,3.16,0,ndk,e2,urz,1.3,rw,8.058692,1.40865292182218,0.387302,1.88201575469566,akk
no,158292,xy,fpj,wh,kc,3.32,0,ndk,e2,ghz,0.2,xp,9.8498726,1.38262785209842,0.400004,1.89545453911871,bhe
no,580208,cu,fpj,uz,kc,3.61,0,ndk,e2,urz,1,rw,6.9287261,1.36153384487713,0.316226,1.80677524161552,akk
no,124809,xy,fpj,uz,kc,2.65,0,ndk,e2,urz,0.7,rw,2.8187305,1.42129980535393,0.374171,1.69239822683055,ywh
no,554687,xy,fpj,wh,kc,3.61,1,ndk,e2,urz,0,xp,5.2547364,1.31032482838965,0.316226,1.84378863675899,bhe
no,320548,rh,fpj,ld,kc,3.32,0,ptn,e4,urz,0.9,xp,6.6212055,1.36165846518082,0.400004,1.8500304123757,bhe
no,73462,dt,cqy,uz,kc,3.46,0,ndk,e2,pxe,0.4,rw,5.2471048,1.36877637165667,0.316226,1.72016681653524,akk
